Date,Open,High,Low,Close,Volume,Adj. Close
1997-05-14,0.638393,0.642857,0.625,0.631696,33910800,0.425988
1997-05-15,0.633929,0.642857,0.625,0.633929,24752000,0.427494
1997-05-16,0.625,0.629464,0.616071,0.616071,23324000,0.415451
1997-05-19,0.625,0.629464,0.607143,0.607143,13064800,0.409431
1997-05-20,0.607143,0.622768,0.598214,0.616071,21207200,0.415451
1997-05-21,0.611607,0.611607,0.589286,0.602679,30562000,0.40642
1997-05-22,0.598214,0.602679,0.589286,0.59375,19191200,0.400399
1997-05-23,0.59375,0.607143,0.59375,0.602679,16758000,0.40642
1997-05-27,0.598214,0.620536,0.598214,0.616071,20521200,0.415451
1997-05-28,0.620536,0.625,0.607143,0.607143,21884800,0.409431
1997-05-29,0.611607,0.611607,0.59375,0.59375,27795600,0.400399
1997-05-30,0.589286,0.607143,0.584821,0.59375,44332400,0.400399
1997-06-02,0.607143,0.607143,0.598214,0.604911,10396400,0.407925
1997-06-03,0.598214,0.604911,0.59375,0.595982,16310000,0.401904
1997-06-04,0.59375,0.598214,0.589286,0.59375,20101200,0.400399
1997-06-05,0.59375,0.611607,0.591518,0.595982,16153200,0.401904
1997-06-06,0.59375,0.598214,0.589286,0.598214,13218800,0.403409
1997-06-09,0.595982,0.604911,0.59375,0.59375,18701200,0.400399
1997-06-10,0.598214,0.598214,0.573661,0.580357,34762000,0.391367
1997-06-11,0.582589,0.587054,0.580357,0.582589,26350800,0.392873
1997-06-12,0.584821,0.584821,0.571429,0.573661,19672800,0.386852
1997-06-13,0.573661,0.575893,0.5625,0.564732,33017600,0.380831
1997-06-16,0.566964,0.566964,0.549107,0.553571,33502000,0.373304
1997-06-17,0.555804,0.589286,0.553571,0.583704,35562800,0.393624
1997-06-18,0.575893,0.580357,0.5625,0.569196,27412000,0.383841
1997-06-19,0.571429,0.571429,0.560268,0.5625,30256800,0.379325
1997-06-20,0.560268,0.5625,0.553571,0.555804,27546400,0.37481
1997-06-23,0.553571,0.558036,0.549107,0.549107,24886400,0.370294
1997-06-24,0.551339,0.555804,0.544643,0.546875,27787200,0.368788
1997-06-25,0.546875,0.549107,0.535714,0.540179,49658000,0.364273
1997-06-26,0.540179,0.540179,0.522321,0.524554,95496800,0.353736
1997-06-27,0.524554,0.529018,0.522321,0.524554,39488400,0.353736
1997-06-30,0.526786,0.526786,0.5,0.508929,42795200,0.343199
1997-07-01,0.497768,0.5,0.46875,0.470982,112669200,0.31761
1997-07-02,0.473214,0.477679,0.464286,0.466518,62490400,0.314599
1997-07-03,0.46875,0.495536,0.464286,0.488839,46695600,0.329652
1997-07-07,0.497768,0.508929,0.491071,0.493304,47868800,0.332662
1997-07-08,0.495536,0.5,0.488839,0.491071,23923200,0.331157
1997-07-09,0.493304,0.495536,0.486607,0.488839,35504000,0.329652
1997-07-10,0.459821,0.477679,0.455357,0.473214,123127200,0.319115
1997-07-11,0.477679,0.553571,0.475446,0.542411,183736000,0.365778
1997-07-14,0.544643,0.558036,0.53125,0.558036,102751600,0.376315
1997-07-15,0.5625,0.571429,0.558036,0.569196,104588400,0.383841
1997-07-16,0.564732,0.589286,0.558036,0.587054,111563200,0.395883
1997-07-17,0.607143,0.647321,0.587054,0.625,186566800,0.421473
1997-07-18,0.638393,0.640625,0.609375,0.619418,79391200,0.417708
1997-07-21,0.627232,0.631696,0.571429,0.577007,88729200,0.389108
1997-07-22,0.584821,0.595982,0.582589,0.591518,57834000,0.398894
1997-07-23,0.598214,0.602679,0.571429,0.575893,35322000,0.388357
1997-07-24,0.575893,0.575893,0.558036,0.564732,33373200,0.380831
1997-07-25,0.566964,0.591518,0.5625,0.580357,54490800,0.391367
1997-07-28,0.587054,0.589286,0.580357,0.587054,27627600,0.395883
1997-07-29,0.587054,0.59375,0.584821,0.589286,17810800,0.397389
1997-07-30,0.604911,0.631696,0.598214,0.620536,93576000,0.418462
1997-07-31,0.620536,0.633929,0.616071,0.625,65954000,0.421473
1997-08-01,0.629464,0.685268,0.627232,0.685268,120478400,0.462115
1997-08-04,0.685268,0.707589,0.685268,0.705357,152829600,0.475662
1997-08-05,0.712054,0.714286,0.695868,0.705357,61782000,0.475662
1997-08-06,0.901786,0.991071,0.892857,0.939732,1047620000,0.633714
1997-08-07,1.026786,1.055804,1.013393,1.042411,938859600,0.702956
